factor,setting,seed,test_accuracy,macro_f1,train_time_s,infer_time_ms_per_sample,notes
K,1,11,75.000000,0.745855,0.178413,0.000094,phase2_auto_hybrid_ablation
K,1,23,86.111111,0.858980,0.161630,0.000046,phase2_auto_hybrid_ablation
K,1,37,80.277778,0.789601,0.132669,0.000049,phase2_auto_hybrid_ablation
K,1,41,78.611111,0.786498,0.134348,0.000042,phase2_auto_hybrid_ablation
K,1,53,87.500000,0.870228,0.136206,0.000059,phase2_auto_hybrid_ablation
K,2,11,89.166667,0.888243,0.145746,0.000086,phase2_auto_hybrid_ablation
K,2,23,78.611111,0.803859,0.143450,0.000091,phase2_auto_hybrid_ablation
K,2,37,83.611111,0.835120,0.142329,0.000265,phase2_auto_hybrid_ablation
K,2,41,89.444444,0.897270,0.143941,0.000106,phase2_auto_hybrid_ablation
K,2,53,88.055556,0.879169,0.143468,0.000095,phase2_auto_hybrid_ablation
K,4,11,90.000000,0.900265,0.151502,0.000132,phase2_auto_hybrid_ablation
K,4,23,84.166667,0.843447,0.151754,0.000148,phase2_auto_hybrid_ablation
K,4,37,83.333333,0.812325,0.155526,0.000085,phase2_auto_hybrid_ablation
K,4,41,92.777778,0.926483,0.149730,0.000089,phase2_auto_hybrid_ablation
K,4,53,81.666667,0.798787,0.151336,0.000093,phase2_auto_hybrid_ablation
K,6,11,88.611111,0.880593,0.162078,0.000098,phase2_auto_hybrid_ablation
K,6,23,86.111111,0.860344,0.162381,0.000093,phase2_auto_hybrid_ablation
K,6,37,79.722222,0.777380,0.159361,0.000107,phase2_auto_hybrid_ablation
K,6,41,76.388889,0.750059,0.161309,0.000093,phase2_auto_hybrid_ablation
K,6,53,90.555556,0.904794,0.162228,0.000651,phase2_auto_hybrid_ablation
sigma,0.15,11,84.444444,0.830786,0.147881,0.000098,phase2_auto_hybrid_ablation
sigma,0.15,23,86.944444,0.865090,0.150366,0.000085,phase2_auto_hybrid_ablation
sigma,0.15,37,88.888889,0.876517,0.147934,0.000087,phase2_auto_hybrid_ablation
sigma,0.15,41,85.555556,0.853368,0.148853,0.000112,phase2_auto_hybrid_ablation
sigma,0.15,53,91.388889,0.913560,0.147383,0.000098,phase2_auto_hybrid_ablation
sigma,0.25,11,90.000000,0.900265,0.151356,0.000098,phase2_auto_hybrid_ablation
sigma,0.25,23,84.166667,0.843447,0.147903,0.000094,phase2_auto_hybrid_ablation
sigma,0.25,37,83.333333,0.812325,0.148129,0.000097,phase2_auto_hybrid_ablation
sigma,0.25,41,92.777778,0.926483,0.148639,0.000096,phase2_auto_hybrid_ablation
sigma,0.25,53,81.666667,0.798787,0.151367,0.000095,phase2_auto_hybrid_ablation
sigma,0.35,11,86.388889,0.841405,0.147933,0.000098,phase2_auto_hybrid_ablation
sigma,0.35,23,68.055556,0.650687,0.147490,0.000098,phase2_auto_hybrid_ablation
sigma,0.35,37,82.222222,0.795622,0.149171,0.000090,phase2_auto_hybrid_ablation
sigma,0.35,41,70.555556,0.715028,0.148129,0.000093,phase2_auto_hybrid_ablation
sigma,0.35,53,89.444444,0.893996,0.148031,0.000091,phase2_auto_hybrid_ablation
lambda_max_hz,100,11,87.500000,0.876044,0.145115,0.000094,phase2_auto_hybrid_ablation
lambda_max_hz,100,23,89.722222,0.898943,0.147744,0.000091,phase2_auto_hybrid_ablation
lambda_max_hz,100,37,88.611111,0.885192,0.146441,0.000087,phase2_auto_hybrid_ablation
lambda_max_hz,100,41,85.833333,0.860833,0.147223,0.000090,phase2_auto_hybrid_ablation
lambda_max_hz,100,53,81.666667,0.815858,0.147309,0.000100,phase2_auto_hybrid_ablation
lambda_max_hz,150,11,91.944444,0.919342,0.149626,0.000090,phase2_auto_hybrid_ablation
lambda_max_hz,150,23,77.222222,0.762085,0.146319,0.000096,phase2_auto_hybrid_ablation
lambda_max_hz,150,37,78.611111,0.746930,0.144555,0.000097,phase2_auto_hybrid_ablation
lambda_max_hz,150,41,86.388889,0.863020,0.145469,0.000101,phase2_auto_hybrid_ablation
lambda_max_hz,150,53,91.944444,0.919140,0.145627,0.000094,phase2_auto_hybrid_ablation
lambda_max_hz,200,11,90.000000,0.900265,0.144650,0.000088,phase2_auto_hybrid_ablation
lambda_max_hz,200,23,84.166667,0.843447,0.148861,0.000091,phase2_auto_hybrid_ablation
lambda_max_hz,200,37,83.333333,0.812325,0.146601,0.000102,phase2_auto_hybrid_ablation
lambda_max_hz,200,41,92.777778,0.926483,0.146838,0.000099,phase2_auto_hybrid_ablation
lambda_max_hz,200,53,81.666667,0.798787,0.146267,0.000089,phase2_auto_hybrid_ablation
lambda_max_hz,250,11,86.111111,0.851362,0.146790,0.000101,phase2_auto_hybrid_ablation
lambda_max_hz,250,23,88.333333,0.883369,0.147777,0.000094,phase2_auto_hybrid_ablation
lambda_max_hz,250,37,88.333333,0.880707,0.146597,0.000094,phase2_auto_hybrid_ablation
lambda_max_hz,250,41,90.555556,0.903798,0.146912,0.000091,phase2_auto_hybrid_ablation
lambda_max_hz,250,53,84.166667,0.844202,0.146783,0.000091,phase2_auto_hybrid_ablation
homeostasis,on,11,90.000000,0.900265,0.145327,0.000095,phase2_auto_hybrid_ablation
homeostasis,on,23,84.166667,0.843447,0.145101,0.000095,phase2_auto_hybrid_ablation
homeostasis,on,37,83.333333,0.812325,0.146700,0.000097,phase2_auto_hybrid_ablation
homeostasis,on,41,92.777778,0.926483,0.144884,0.000089,phase2_auto_hybrid_ablation
homeostasis,on,53,81.666667,0.798787,0.145189,0.000091,phase2_auto_hybrid_ablation
homeostasis,off,11,95.555556,0.955422,0.143494,0.000092,phase2_auto_hybrid_ablation
homeostasis,off,23,95.833333,0.958175,0.143553,0.000095,phase2_auto_hybrid_ablation
homeostasis,off,37,95.000000,0.949828,0.144506,0.000090,phase2_auto_hybrid_ablation
homeostasis,off,41,96.666667,0.966648,0.142628,0.000089,phase2_auto_hybrid_ablation
homeostasis,off,53,94.444444,0.944408,0.143663,0.000091,phase2_auto_hybrid_ablation
reward_shaping,positive_only,11,91.666667,0.916073,0.153761,0.000090,phase2_auto_hybrid_ablation
reward_shaping,positive_only,23,90.277778,0.901506,0.154056,0.000090,phase2_auto_hybrid_ablation
reward_shaping,positive_only,37,94.166667,0.941496,0.155379,0.000096,phase2_auto_hybrid_ablation
reward_shaping,positive_only,41,91.944444,0.919012,0.151880,0.000091,phase2_auto_hybrid_ablation
reward_shaping,positive_only,53,91.944444,0.917999,0.153912,0.000098,phase2_auto_hybrid_ablation
reward_shaping,signed,11,90.000000,0.900265,0.145654,0.000091,phase2_auto_hybrid_ablation
reward_shaping,signed,23,84.166667,0.843447,0.147231,0.000087,phase2_auto_hybrid_ablation
reward_shaping,signed,37,83.333333,0.812325,0.145196,0.000092,phase2_auto_hybrid_ablation
reward_shaping,signed,41,92.777778,0.926483,0.147671,0.000093,phase2_auto_hybrid_ablation
reward_shaping,signed,53,81.666667,0.798787,0.147709,0.000090,phase2_auto_hybrid_ablation
homeostasis,on,67,81.388889,0.815211,0.150040,0.000094,phase2_auto_hybrid_ablation
homeostasis,on,79,91.388889,0.910221,0.147617,0.000091,phase2_auto_hybrid_ablation
homeostasis,on,83,79.444444,0.782641,0.148316,0.000101,phase2_auto_hybrid_ablation
homeostasis,on,97,75.833333,0.773646,0.148086,0.000097,phase2_auto_hybrid_ablation
homeostasis,off,67,94.722222,0.947001,0.146999,0.000097,phase2_auto_hybrid_ablation
homeostasis,off,79,97.222222,0.972111,0.145715,0.000090,phase2_auto_hybrid_ablation
homeostasis,off,83,96.388889,0.963692,0.145563,0.000092,phase2_auto_hybrid_ablation
homeostasis,off,97,93.888889,0.938871,0.145810,0.000097,phase2_auto_hybrid_ablation
reward_shaping,positive_only,67,90.833333,0.907462,0.153618,0.000094,phase2_auto_hybrid_ablation
reward_shaping,positive_only,79,91.388889,0.912877,0.152980,0.000092,phase2_auto_hybrid_ablation
reward_shaping,positive_only,83,91.111111,0.910333,0.155086,0.000092,phase2_auto_hybrid_ablation
reward_shaping,positive_only,97,91.944444,0.918612,0.154971,0.000091,phase2_auto_hybrid_ablation
reward_shaping,signed,67,81.388889,0.815211,0.145134,0.000092,phase2_auto_hybrid_ablation
reward_shaping,signed,79,91.388889,0.910221,0.146371,0.000091,phase2_auto_hybrid_ablation
reward_shaping,signed,83,79.444444,0.782641,0.145199,0.000102,phase2_auto_hybrid_ablation
reward_shaping,signed,97,75.833333,0.773646,0.144799,0.000094,phase2_auto_hybrid_ablation
homeostasis,gentle,11,93.333333,0.934016,0.147315,0.000095,phase2_auto_hybrid_ablation
homeostasis,gentle,23,92.222222,0.921272,0.147720,0.000089,phase2_auto_hybrid_ablation
homeostasis,gentle,37,91.388889,0.911012,0.146794,0.000090,phase2_auto_hybrid_ablation
homeostasis,gentle,41,91.111111,0.914972,0.147095,0.000087,phase2_auto_hybrid_ablation
homeostasis,gentle,53,83.333333,0.834651,0.148848,0.000089,phase2_auto_hybrid_ablation
homeostasis,gentle,67,90.555556,0.901158,0.147958,0.000095,phase2_auto_hybrid_ablation
homeostasis,gentle,79,77.500000,0.787798,0.145771,0.000096,phase2_auto_hybrid_ablation
homeostasis,gentle,83,85.277778,0.841732,0.144331,0.000090,phase2_auto_hybrid_ablation
homeostasis,gentle,97,93.888889,0.937929,0.144239,0.000094,phase2_auto_hybrid_ablation
norm_reward_2x2,on_positive_only,11,91.666667,0.916073,0.156226,0.000085,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,23,90.277778,0.901506,0.152735,0.000087,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,37,94.166667,0.941496,0.154023,0.000085,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,41,91.944444,0.919012,0.157995,0.000113,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,53,91.944444,0.917999,0.153447,0.000088,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,67,90.833333,0.907462,0.156545,0.000087,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,79,91.388889,0.912877,0.156547,0.000089,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,83,91.111111,0.910333,0.156166,0.000088,phase2_norm_reward_2x2
norm_reward_2x2,on_positive_only,97,91.944444,0.918612,0.159621,0.000489,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,11,92.777778,0.928347,0.153140,0.000087,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,23,94.166667,0.942060,0.153336,0.000086,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,37,92.500000,0.924729,0.158430,0.000095,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,41,91.388889,0.914732,0.153717,0.000100,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,53,89.166667,0.893326,0.154870,0.000077,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,67,91.388889,0.914236,0.154749,0.000083,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,79,93.611111,0.936088,0.154933,0.000087,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,83,91.388889,0.914505,0.157260,0.000119,phase2_norm_reward_2x2
norm_reward_2x2,off_positive_only,97,91.388889,0.913794,0.158409,0.000111,phase2_norm_reward_2x2
