split_seed,condition,model_seed,test_accuracy,macro_f1,train_time_s,infer_time_ms_per_sample,infer_excludes_encoding,infer_scope,notes
2026,hybrid_default_norm_on,11,90.000000,0.900265,0.152093,0.000422,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_default_norm_on,23,84.166667,0.843447,0.149732,0.000175,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_default_norm_on,37,83.333333,0.812325,0.148027,0.000250,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_default_norm_on,41,92.777778,0.926483,0.152549,0.000198,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_default_norm_on,53,81.666667,0.798787,0.152083,0.000265,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_best_norm_off,11,95.555556,0.955422,0.155181,0.000277,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_best_norm_off,23,95.833333,0.958175,0.152935,0.000247,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_best_norm_off,37,95.000000,0.949828,0.149480,0.000513,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_best_norm_off,41,96.666667,0.966648,0.149296,0.000215,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2026,hybrid_best_norm_off,53,94.444444,0.944408,0.149875,0.000474,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_default_norm_on,11,90.833333,0.904674,0.151247,0.000191,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_default_norm_on,23,87.500000,0.874462,0.153806,0.000241,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_default_norm_on,37,81.666667,0.823047,0.150468,0.000220,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_default_norm_on,41,85.833333,0.852360,0.147846,0.000224,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_default_norm_on,53,81.111111,0.789386,0.148574,0.000340,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_best_norm_off,11,93.333333,0.933469,0.151095,0.000156,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_best_norm_off,23,92.500000,0.925266,0.151000,0.000473,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_best_norm_off,37,93.611111,0.936074,0.152663,0.000244,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_best_norm_off,41,93.888889,0.938444,0.151522,0.000231,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2027,hybrid_best_norm_off,53,91.944444,0.920150,0.145715,0.000256,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_default_norm_on,11,72.222222,0.686342,0.154247,0.000267,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_default_norm_on,23,75.000000,0.721730,0.152737,0.000243,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_default_norm_on,37,87.777778,0.874056,0.152927,0.000310,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_default_norm_on,41,83.333333,0.821124,0.151750,0.000294,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_default_norm_on,53,89.166667,0.889544,0.146944,0.000224,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_best_norm_off,11,89.444444,0.897543,0.146995,0.000242,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_best_norm_off,23,93.888889,0.937931,0.153357,0.000243,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_best_norm_off,37,93.333333,0.934062,0.151482,0.000232,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_best_norm_off,41,93.055556,0.929900,0.150757,0.000236,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
2028,hybrid_best_norm_off,53,93.611111,0.935116,0.148166,0.000239,true,forward pass only; excludes encoding and data loading,phase_strong_accept_split_robustness
